,line,filename,entity,len,lineNo,blank,email,url,phone,sigdelimiter,special,words,header,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,num90,num50,num10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,nSigBlocks,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioFromEnd,posRatioNB,lenRatio,lenRatioMax,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
21,"Don't let the past hold you back, you're missing the",104_body,no_entity,52,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,64,0,0,0,0,0.21951219512195122,0.7804878048780488,0.3157894736842105,2.1666666666666665,0.9629629629629629,0,1,0,0
22,good stuff.,104_body,no_entity,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,63,0,0,0,0,0.23170731707317074,0.7682926829268293,0.3333333333333333,0.4583333333333333,0.2037037037037037,1,0,1,1
23,,104_body,no_entity,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,62,0,0,0,0,0.24390243902439024,0.7560975609756098,0.3508771929824561,0.0,0.0,1,0,1,1
24,Life's short. If you don't look around once in a while,104_body,no_entity,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,61,0,0,0,0,0.25609756097560976,0.7439024390243902,0.3684210526315789,2.25,1.0,0,1,0,0
25,you might miss it.,104_body,no_entity,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,60,0,0,0,0,0.2682926829268293,0.7317073170731707,0.38596491228070173,0.75,0.3333333333333333,1,0,1,0
26,,104_body,no_entity,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,59,0,0,0,0,0.2804878048780488,0.7195121951219512,0.40350877192982454,0.0,0.0,1,0,1,1
27,"A BEST FRIEND is like a four leaf clover, HARD TO FIND",104_body,no_entity,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,58,0,0,0,0,0.2926829268292683,0.7073170731707317,0.42105263157894735,2.25,1.0,0,1,0,0
28,and LUCKY TO HAVE.,104_body,no_entity,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,57,0,0,0,0,0.3048780487804878,0.6951219512195121,0.43859649122807015,0.75,0.3333333333333333,1,0,1,0
29,,104_body,no_entity,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,56,0,0,0,0,0.3170731707317073,0.6829268292682927,0.45614035087719296,0.0,0.0,1,0,1,1
30,Some people make the world SPECIAL just by being in,104_body,no_entity,51,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,55,0,0,0,0,0.32926829268292684,0.6707317073170732,0.47368421052631576,2.125,0.9444444444444444,0,1,0,0
31,it.,104_body,no_entity,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,i,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,54,0,0,0,0,0.34146341463414637,0.6585365853658537,0.49122807017543857,0.125,0.05555555555555555,1,0,1,1
32,,104_body,no_entity,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,53,0,0,0,0,0.35365853658536583,0.6463414634146342,0.5087719298245614,0.0,0.0,1,0,1,1
33,BEST FRIENDS are the siblings God forgot to give us.,104_body,no_entity,52,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,52,0,0,0,0,0.36585365853658536,0.6341463414634146,0.5263157894736842,2.1666666666666665,0.9629629629629629,0,1,0,0
34,,104_body,no_entity,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,51,0,0,0,0,0.3780487804878049,0.6219512195121951,0.543859649122807,0.0,0.0,1,0,1,1
35,"When it hurts to look back, and you're scared to look",104_body,no_entity,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,50,0,0,0,0,0.3902439024390244,0.6097560975609756,0.5614035087719298,2.2083333333333335,0.9814814814814815,0,1,0,0
36,"ahead, you can look beside you and your BEST FRIEND",104_body,no_entity,51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,49,0,0,0,0,0.4024390243902439,0.5975609756097561,0.5789473684210527,2.125,0.9444444444444444,0,1,0,0
37,will,104_body,no_entity,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,48,0,0,0,0,0.4146341463414634,0.5853658536585366,0.5964912280701754,0.16666666666666666,0.07407407407407407,1,0,1,1
38,be there.,104_body,no_entity,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,47,0,0,0,0,0.4268292682926829,0.573170731707317,0.6140350877192983,0.375,0.16666666666666666,1,0,1,1
39,,104_body,no_entity,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,46,0,0,0,0,0.43902439024390244,0.5609756097560976,0.631578947368421,0.0,0.0,1,0,1,1
40,"TRUE FRIENDSHIP ""NEVER"" ENDS. Friends are FOREVER.",104_body,no_entity,50,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,45,0,0,0,0,0.45121951219512196,0.5487804878048781,0.6491228070175439,2.0833333333333335,0.9259259259259259,0,1,0,0
41,,104_body,no_entity,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,44,0,0,0,0,0.4634146341463415,0.5365853658536586,0.6666666666666666,0.0,0.0,1,0,1,1
42,Good friends are like stars....You don't always see,104_body,no_entity,51,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,43,0,0,0,0,0.47560975609756095,0.524390243902439,0.6842105263157895,2.125,0.9444444444444444,0,1,0,0
43,"them, but you know they are always there.",104_body,no_entity,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,42,0,0,0,0,0.4878048780487805,0.5121951219512195,0.7017543859649122,1.7083333333333333,0.7592592592592593,0,1,0,0
44,,104_body,no_entity,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,41,0,0,0,0,0.5,0.5,0.7192982456140351,0.0,0.0,1,0,1,1
45,Don't frown. You never know who is falling in love,104_body,no_entity,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,40,0,0,0,0,0.5121951219512195,0.4878048780487805,0.7368421052631579,2.0833333333333335,0.9259259259259259,0,1,0,0
46,with,104_body,no_entity,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,39,0,0,0,0,0.524390243902439,0.47560975609756095,0.7543859649122807,0.16666666666666666,0.07407407407407407,1,0,1,1
47,your smile.,104_body,no_entity,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,38,0,0,0,0,0.5365853658536586,0.4634146341463415,0.7719298245614035,0.4583333333333333,0.2037037037037037,1,0,1,1
48,,104_body,no_entity,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,37,0,0,0,0,0.5487804878048781,0.45121951219512196,0.7894736842105263,0.0,0.0,1,0,1,1
49,What do you do when the only person who can make you,104_body,no_entity,52,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,36,0,0,0,0,0.5609756097560976,0.43902439024390244,0.8070175438596491,2.1666666666666665,0.9629629629629629,0,1,0,0
50,stop crying is the person who made you cry?,104_body,no_entity,43,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,35,0,0,0,0,0.573170731707317,0.4268292682926829,0.8245614035087719,1.7916666666666667,0.7962962962962963,0,1,0,0
51,,104_body,no_entity,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,34,0,0,0,0,0.5853658536585366,0.4146341463414634,0.8421052631578947,0.0,0.0,1,0,1,1
52,Nobody is perfect until you fall in love with them.,104_body,no_entity,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,33,0,0,0,0,0.5975609756097561,0.4024390243902439,0.8596491228070176,2.125,0.9444444444444444,0,1,0,0
53,,104_body,no_entity,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,32,0,0,0,0,0.6097560975609756,0.3902439024390244,0.8771929824561403,0.0,0.0,1,0,1,1
54,"Everything is okay in the end. If it's not okay, then",104_body,no_entity,53,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,31,0,0,0,0,0.6219512195121951,0.3780487804878049,0.8947368421052632,2.2083333333333335,0.9814814814814815,0,1,0,0
55,it's not the end.,104_body,no_entity,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,30,0,0,0,0,0.6341463414634146,0.36585365853658536,0.9122807017543859,0.7083333333333334,0.3148148148148148,1,0,1,0
56,,104_body,no_entity,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,29,0,0,0,0,0.6463414634146342,0.35365853658536583,0.9298245614035088,0.0,0.0,1,0,1,1
57,"Most people walk in and out of your life, but only",104_body,no_entity,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,28,0,0,0,0,0.6585365853658537,0.34146341463414637,0.9473684210526315,2.0833333333333335,0.9259259259259259,0,1,0,0
58,friends leave footprints in your heart.,104_body,no_entity,39,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,27,0,0,0,0,0.6707317073170732,0.32926829268292684,0.9649122807017544,1.625,0.7222222222222222,0,1,0,0
59,,104_body,no_entity,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,26,0,0,0,0,0.6829268292682927,0.3170731707317073,0.9824561403508771,0.0,0.0,1,0,1,1
60,"Send this on to everyone special in your life, even",104_body,no_entity,51,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,25,0,0,0,0,0.6951219512195121,0.3048780487804878,1.0,2.125,0.9444444444444444,0,1,0,0
61,the,104_body,no_entity,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,0,0,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,24,0,0,0,0,0.7073170731707317,0.2926829268292683,1.0175438596491229,0.125,0.05555555555555555,1,0,1,1
62,people who really make you mad sometimes and to the,104_body,no_entity,51,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,23,0,0,0,0,0.7195121951219512,0.2804878048780488,1.0350877192982457,2.125,0.9444444444444444,0,1,0,0
63,people whose lives you want to be in!!!,104_body,no_entity,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,22,0,0,0,0,0.7317073170731707,0.2682926829268293,1.0526315789473684,1.625,0.7222222222222222,0,1,0,0
64,,104_body,no_entity,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,21,0,0,0,0,0.7439024390243902,0.25609756097560976,1.0701754385964912,0.0,0.0,1,0,1,1
65,And send it back to the person who sent it too you,104_body,no_entity,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,20,0,0,0,0,0.7560975609756098,0.24390243902439024,1.087719298245614,2.0833333333333335,0.9259259259259259,0,1,0,0
66,if they mean something to you !!,104_body,no_entity,32,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,19,0,0,0,0,0.7682926829268293,0.23170731707317074,1.105263157894737,1.3333333333333333,0.5925925925925926,0,1,0,0
67,,104_body,no_entity,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,18,0,0,0,0,0.7804878048780488,0.21951219512195122,1.1228070175438596,0.0,0.0,1,0,1,1
68,"Remember, every minute spent angry is sixty seconds of",104_body,no_entity,54,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,17,0,0,0,0,0.7926829268292683,0.2073170731707317,1.1403508771929824,2.25,1.0,0,1,0,0
69,happiness wasted.,104_body,no_entity,17,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,16,0,0,0,0,0.8048780487804879,0.1951219512195122,1.1578947368421053,0.7083333333333334,0.3148148148148148,1,0,1,0
70,,104_body,no_entity,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,15,0,0,0,0,0.8170731707317073,0.18292682926829268,1.1754385964912282,0.0,0.0,1,0,1,1
71,,104_body,no_entity,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,14,0,0,0,0,0.8292682926829268,0.17073170731707318,1.1929824561403508,0.0,0.0,1,0,1,1
72,AWESOME PRAYER:,104_body,no_entity,15,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,13,0,0,0,0,0.8414634146341463,0.15853658536585366,1.2105263157894737,0.625,0.2777777777777778,1,0,1,0
73,May today there be peace within you. May you trust,104_body,no_entity,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,12,0,0,0,0,0.8536585365853658,0.14634146341463414,1.2280701754385965,2.0833333333333335,0.9259259259259259,0,1,0,0
74,God,104_body,no_entity,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,0,0,0,0,0,0,0,0,1,82,24.0,0,54,25,57,0,0,11,0,0,0,0,0.8658536585365854,0.13414634146341464,1.2456140350877194,0.125,0.05555555555555555,1,0,1,1
75,"that you are exactly where you are meant to be. ""I",104_body,no_entity,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,10,0,0,0,1,0.8780487804878049,0.12195121951219512,1.263157894736842,2.0833333333333335,0.9259259259259259,0,1,0,0
76,believe that friends are quiet angels who lift us to,104_body,no_entity,52,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,9,0,0,0,1,0.8902439024390244,0.10975609756097561,1.280701754385965,2.1666666666666665,0.9629629629629629,0,1,0,0
77,our,104_body,no_entity,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,o,0,0,0,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,8,0,0,0,1,0.9024390243902439,0.0975609756097561,1.2982456140350878,0.125,0.05555555555555555,1,0,1,1
78,feet when our wings have trouble remembering how to,104_body,no_entity,51,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,7,0,0,0,1,0.9146341463414634,0.08536585365853659,1.3157894736842106,2.125,0.9444444444444444,0,1,0,0
79,"fly.""",104_body,no_entity,5,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,f,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,6,0,0,0,1,0.926829268292683,0.07317073170731707,1.3333333333333333,0.20833333333333334,0.09259259259259259,1,0,1,1
80,,104_body,no_entity,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,5,0,0,0,1,0.9390243902439024,0.06097560975609756,1.3508771929824561,0.0,0.0,1,0,1,1
81,Just send this to (4) people and see what happens on,104_body,no_entity,52,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,4,0,0,1,1,0.9512195121951219,0.04878048780487805,1.368421052631579,2.1666666666666665,0.9629629629629629,0,1,0,0
82,the,104_body,no_entity,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,0,0,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,3,0,0,1,1,0.9634146341463414,0.036585365853658534,1.3859649122807018,0.125,0.05555555555555555,1,0,1,1
83,"fourth day. Do not break this, please. There is no",104_body,no_entity,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,2,0,0,1,1,0.975609756097561,0.024390243902439025,1.4035087719298245,2.0833333333333335,0.9259259259259259,0,1,0,0
84,"cost,",104_body,no_entity,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,c,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,1,0,1,1,1,0.9878048780487805,0.012195121951219513,1.4210526315789473,0.20833333333333334,0.09259259259259259,1,0,1,1
